Player Name,Position,Pos. Type,Avg. Assists,Avg. Points,Avg. Field Goals Attempted,Avg. Field Goals Made,Avg. Oe,Avg. Rebounds Offensive,Avg. Rebounds Total,Avg. Turnovers,Count of Number of Records
John Henson,PF,big,0.81,7.04,4.74,2.70,0.82,1.78,4.04,1.04,27.00
John Jenkins,SG,guard,0.46,5.11,3.62,1.46,0.39,0.31,1.23,0.54,13.00
John Wall,PG,guard,9.72,19.59,16.55,7.21,0.56,0.76,4.10,4.41,29.00
Johnny O'Bryant III,F,big,0.73,5.09,3.70,1.57,0.68,1.27,3.17,0.60,30.00
Jon Leuer,PF,big,1.41,9.77,7.88,3.88,0.57,1.13,6.06,1.06,32.00
Jonas Jerebko,PF,big,0.87,4.71,3.00,1.13,0.56,0.81,2.71,0.68,31.00
Jonas Valanciunas,C,big,0.47,12.47,8.73,4.87,0.72,2.87,8.93,1.60,15.00
Jonathon Simmons,SG,guard,1.47,6.19,3.74,1.74,0.66,0.26,1.63,1.05,19.00
Jordan Adams,SG,guard,1.50,3.50,3.00,1.00,0.43,0.00,1.00,1.00,2.00
Jordan Clarkson,PG,guard,2.33,14.43,12.87,5.77,0.50,1.00,3.83,1.80,30.00
Jordan Hill,F,big,1.25,10.00,8.36,4.18,0.71,2.86,7.71,1.29,28.00
Jordan Mickey,PF,big,0.00,2.50,1.50,1.00,1.00,0.50,0.50,0.00,2.00
Jose Calderon,PG,guard,3.88,7.43,5.69,2.59,0.61,0.31,2.91,1.06,32.00
Jose Juan Barea,PG,guard,4.24,11.27,8.72,3.72,0.52,0.40,1.80,1.68,25.00
Joseph Young,PG,guard,0.36,3.60,1.73,0.55,0.42,0.00,0.45,0.36,11.00
Josh McRoberts,PF,big,1.79,5.08,3.11,1.26,0.54,0.63,2.89,0.89,19.00
Josh Richardson,SG,guard,0.54,3.67,1.46,0.46,0.32,0.15,1.08,0.31,13.00
Josh Smith,SF,big,1.34,5.89,5.48,2.14,0.49,1.07,3.97,1.31,29.00
Jrue Holiday,PG,guard,4.36,12.72,10.16,4.48,0.54,0.16,2.08,2.08,25.00
Julius Randle,PF,big,1.58,11.35,10.45,4.35,0.52,2.29,9.42,1.81,31.00
Justin Anderson,SG,guard,0.17,4.00,2.17,0.89,0.42,0.06,1.06,0.44,18.00
Justin Holiday,SG,guard,0.50,5.30,3.17,1.17,0.34,0.17,1.17,0.56,18.00
Justise Winslow,SF,big,1.31,6.07,5.21,2.17,0.48,0.83,4.72,1.48,29.00
K.J. McDaniels,SG,guard,0.10,3.40,1.90,0.60,0.42,0.30,0.90,0.30,10.00
Karl-Anthony Towns,C,big,1.03,15.94,12.19,6.52,0.60,2.42,9.42,2.10,31.00
Kawhi Leonard,SF,big,2.84,20.81,15.26,7.74,0.59,1.35,7.42,1.19,31.00
Kelly Olynyk,C,big,1.53,10.63,7.97,3.63,0.48,1.00,4.13,1.27,30.00
Kelly Oubre,SF,big,0.36,7.64,3.95,1.68,0.50,0.36,2.45,0.36,22.00
Kemba Walker,PG,guard,4.97,18.53,14.77,6.53,0.54,0.77,4.27,2.23,30.00
Kendall Marshall,PG,guard,4.00,4.50,4.63,1.75,0.50,0.13,1.25,2.63,8.00
Kendrick Perkins,C,big,0.50,4.50,2.00,1.63,0.90,0.75,2.25,0.63,8.00
Kenneth Faried,PF,big,1.07,12.85,9.59,5.37,0.78,3.59,8.89,1.59,27.00
Kent Bazemore,SG,guard,2.32,12.63,9.57,4.46,0.52,0.21,4.68,1.43,28.00
Kentavious Caldwell-Pope,SG,guard,2.00,13.87,12.61,5.03,0.47,0.81,3.32,1.29,31.00
Kevin Durant,SF,big,4.64,26.64,17.56,9.24,0.56,0.32,7.60,3.08,25.00
Kevin Garnett,PF,big,1.67,4.29,3.04,1.44,0.68,0.44,4.56,0.44,27.00
Kevin Love,PF,big,2.59,17.03,13.41,5.83,0.53,2.41,10.55,2.07,29.00
Kevin Martin,SG,guard,1.31,12.56,10.15,3.73,0.36,0.19,2.19,0.96,26.00
Kevin Seraphin,PF,big,1.22,5.06,4.35,1.74,0.48,0.74,2.43,1.04,23.00
Khris Middleton,SF,big,3.50,15.19,12.38,5.13,0.50,0.34,3.44,1.56,32.00
Kirk Hinrich,SG,guard,1.55,6.00,3.50,1.50,0.53,0.10,1.15,0.75,20.00
Klay Thompson,SG,guard,2.36,19.61,14.93,6.93,0.49,0.43,3.61,1.93,28.00
Kobe Bryant,SG,guard,3.39,17.32,17.18,5.89,0.42,0.54,4.00,2.18,28.00
Kosta Koufos,C,big,0.23,8.24,6.63,3.50,0.82,2.57,6.33,0.60,30.00
Kostas Papanikolaou,PF,big,0.68,5.00,2.45,0.95,0.40,0.32,1.41,0.73,22.00
Kris Humphries,PF,big,0.67,7.85,5.79,2.29,0.46,1.04,4.38,0.75,24.00
Kristaps Porzingis,PF,big,1.13,13.71,11.59,4.84,0.48,2.22,8.16,1.88,32.00
Kyle Anderson,SF,big,1.00,4.85,2.58,1.19,0.50,0.23,2.23,0.58,31.00
Kyle Korver,SG,guard,2.10,9.68,7.90,3.52,0.49,0.06,3.71,1.45,31.00
Kyle Lowry,PG,guard,6.16,20.94,15.84,6.59,0.53,0.69,4.94,2.88,32.00
Kyle O'Quinn,PF,big,1.44,6.45,4.32,2.08,0.72,1.60,4.64,1.24,25.00
Kyle Singler,SF,big,0.09,3.23,2.57,0.65,0.25,0.26,1.43,0.61,23.00
Kyrie Irving,PG,guard,3.00,13.00,12.50,4.25,0.45,1.00,1.50,1.50,4.00
Lamar Patterson,SG,guard,1.33,5.29,2.52,0.93,0.46,0.15,1.78,0.74,27.00
LaMarcus Aldridge,PF,big,1.29,15.35,13.42,6.32,0.55,2.48,8.71,1.42,31.00
Lance Stephenson,SG,guard,1.60,6.35,3.97,1.67,0.46,0.50,2.53,1.23,30.00
Lance Thomas,SF,big,0.75,10.32,6.56,3.22,0.50,0.66,2.16,1.00,32.00
Langston Galloway,PG,guard,2.28,8.29,7.19,2.75,0.50,0.59,3.63,0.69,32.00
Larry Nance Jr.,PF,big,0.62,6.36,4.73,2.46,0.65,1.19,4.08,0.77,26.00
Lavoy Allen,PF,big,1.18,5.38,5.43,2.36,0.65,1.93,5.43,1.04,28.00
Leandro Barbosa,SG,guard,1.44,6.52,5.72,2.48,0.49,0.36,1.40,0.92,25.00
LeBron James,SF,big,6.14,25.36,19.71,9.57,0.56,1.29,7.43,3.50,28.00
Lou Amundson,PF,big,0.38,4.38,2.31,1.08,0.67,0.92,2.38,0.31,13.00
Louis Williams,SG,guard,2.50,13.07,9.60,3.73,0.47,0.33,2.43,1.40,30.00
Luc Mbah a Moute,PF,big,0.25,4.19,2.36,0.89,0.65,1.00,2.00,0.36,28.00
Lucas Nogueira,U,big,0.27,4.50,2.00,1.45,0.52,0.64,1.82,0.36,11.00
